Date,Frequency
2019-08-02,6
2019-08-03,5
2019-08-04,3
2019-08-05,10
2019-08-06,7
2019-08-07,12
2019-08-08,15
2019-08-09,14
2019-08-10,7
2019-08-11,6
2019-08-12,1
2019-08-13,7
2019-08-14,6
2019-08-15,5
2019-08-16,12
2019-08-17,4
2019-08-18,7
2019-08-19,6
2019-08-20,9
2019-08-21,9
2019-08-22,5
2019-08-23,9
2019-08-24,12
2019-08-25,8
2019-08-26,1
2019-08-27,11
2019-08-28,6
2019-08-29,8
2019-08-30,10
2019-08-31,7
2019-09-01,10
2019-09-02,9
2019-09-03,9
2019-09-04,7
2019-09-05,4
2019-09-06,8
2019-09-07,7
2019-09-08,4
2019-09-09,6
2019-09-10,13
2019-09-11,8
2019-09-12,8
2019-09-13,8
2019-09-14,16
2019-09-15,8
2019-09-16,6
2019-09-17,6
2019-09-18,6
2019-09-19,7
2019-09-20,8
2019-09-21,6
2019-09-22,20
2019-09-23,3
2019-09-24,5
2019-09-25,5
2019-09-26,4
2019-09-27,8
2019-09-28,3
2019-09-29,4
2019-09-30,2
2019-10-01,5
2019-10-02,11
2019-10-03,10
2019-10-04,7
2019-10-05,3
2019-10-06,8
2019-10-07,4
2019-10-08,11
2019-10-09,10
2019-10-10,11
2019-10-11,6
2019-10-12,3
2019-10-13,7
2019-10-14,7
2019-10-15,24
2019-10-16,29
2019-10-17,25
2019-10-18,20
2019-10-19,10
2019-10-20,10
2019-10-21,13
2019-10-22,52
2019-10-23,14
2019-10-24,15
2019-10-25,9
2019-10-26,8
2019-10-27,10
2019-10-28,7
2019-10-29,8
2019-10-30,33
2019-10-31,8
2019-11-01,5
2019-11-02,3
2019-11-03,8
2019-11-04,9
2019-11-05,3
2019-11-06,21
2019-11-07,25
2019-11-08,8
2019-11-09,4
2019-11-10,16
2019-11-11,11
2019-11-12,8
2019-11-13,16
2019-11-14,15
2019-11-15,10
2019-11-16,11
2019-11-17,8
2019-11-18,17
2019-11-19,23
2019-11-20,11
2019-11-21,12
2019-11-22,6
2019-11-23,13
2019-11-24,17
2019-11-25,9
2019-11-26,12
2019-11-27,14
2019-11-28,10
2019-11-29,8
2019-11-30,11
2019-12-01,9
2019-12-02,5
2019-12-03,8
2019-12-04,9
2019-12-05,13
2019-12-06,5
2019-12-07,5
2019-12-08,3
2019-12-09,7
2019-12-10,4
2019-12-11,15
2019-12-12,11
2019-12-13,12
2019-12-14,13
2019-12-15,6
2019-12-16,10
2019-12-17,13
2019-12-18,21
2019-12-19,14
2019-12-20,28
2019-12-21,14
2019-12-22,4
2019-12-23,11
2019-12-24,12
2019-12-25,14
2019-12-26,12
2019-12-27,9
2019-12-28,8
2019-12-29,12
2019-12-30,15
2019-12-31,10
2020-01-01,10
2020-01-02,16
2020-01-03,8
2020-01-04,5
2020-01-05,8
2020-01-06,20
2020-01-07,19
2020-01-08,31
2020-01-09,31
2020-01-10,28
2020-01-11,15
2020-01-12,4
2020-01-13,21
2020-01-14,15
2020-01-15,23
2020-01-16,24
2020-01-17,13
2020-01-18,9
2020-01-19,11
2020-01-20,6
2020-01-21,5
2020-01-22,1
2020-01-23,12
2020-01-24,7
2020-01-25,8
2020-01-26,6
2020-01-27,7
2020-01-28,15
2020-01-29,13
2020-01-30,12
2020-01-31,13
2020-02-01,8
2020-02-02,4
2020-02-03,3
2020-02-04,8
2020-02-05,6
2020-02-06,13
2020-02-07,7
2020-02-08,8
2020-02-09,14
2020-02-10,8
2020-02-11,12
2020-02-12,13
2020-02-13,7
2020-02-14,13
2020-02-15,10
2020-02-16,10
2020-02-17,5
2020-02-18,7
2020-02-19,9
2020-02-20,11
2020-02-21,20
2020-02-22,6
2020-02-23,12
2020-02-24,8
2020-02-25,13
2020-02-26,23
2020-02-27,29
2020-02-28,22
2020-02-29,3
2020-03-01,10
2020-03-02,16
2020-03-03,10
2020-03-04,6
2020-03-05,20
2020-03-06,9
2020-03-07,3
2020-03-08,3
2020-03-09,9
2020-03-10,7
2020-03-11,10
2020-03-12,19
2020-03-13,22
2020-03-14,24
2020-03-15,13
2020-03-16,49
2020-03-17,37
2020-03-18,35
2020-03-19,20
2020-03-20,13
2020-03-21,8
2020-03-22,21
2020-03-23,15
2020-03-24,11
2020-03-25,13
2020-03-26,9
2020-03-27,6
2020-03-28,3
2020-03-29,0
2020-03-30,5
2020-03-31,16
2020-04-01,8
2020-04-02,6
2020-04-03,14
2020-04-04,8
2020-04-05,5
2020-04-06,19
2020-04-07,10
2020-04-08,29
2020-04-09,26
2020-04-10,18
2020-04-11,11
2020-04-12,19
2020-04-13,40
2020-04-14,28
2020-04-15,21
2020-04-16,22
2020-04-17,81
2020-04-18,17
2020-04-19,14
2020-04-20,32
2020-04-21,11
2020-04-22,10
2020-04-23,12
2020-04-24,9
2020-04-25,9
2020-04-26,3
2020-04-27,8
2020-04-28,26
2020-04-29,109
2020-04-30,35
2020-05-01,21
2020-05-02,9
2020-05-03,7
2020-05-04,10
2020-05-05,9
2020-05-06,4
2020-05-07,4
2020-05-08,5
2020-05-09,5
2020-05-10,5
2020-05-11,232
2020-05-12,80
2020-05-13,42
2020-05-14,15
2020-05-15,12
2020-05-16,15
2020-05-17,5
2020-05-18,12
2020-05-19,16
2020-05-20,13
2020-05-21,12
2020-05-22,4
2020-05-23,9
2020-05-24,3
2020-05-25,6
2020-05-26,8
2020-05-27,24
2020-05-28,11
2020-05-29,7
2020-05-30,6
2020-05-31,5
2020-06-01,3
2020-06-02,10
2020-06-03,37
2020-06-04,31
2020-06-05,22
2020-06-06,11
2020-06-07,13
2020-06-08,29
2020-06-09,22
2020-06-10,45
2020-06-11,30
2020-06-12,22
2020-06-13,20
2020-06-14,11
2020-06-15,20
2020-06-16,14
2020-06-17,18
2020-06-18,32
2020-06-19,573
2020-06-20,44
2020-06-21,9
2020-06-22,7
2020-06-23,3
2020-06-24,15
2020-06-25,8
2020-06-26,12
2020-06-27,3
2020-06-28,7
2020-06-29,17
