Date,Frequency
2019-08-02,4
2019-08-03,3
2019-08-04,4
2019-08-05,5
2019-08-06,4
2019-08-07,3
2019-08-08,1
2019-08-09,1
2019-08-10,1
2019-08-11,2
2019-08-12,2
2019-08-13,4
2019-08-14,3
2019-08-15,6
2019-08-16,4
2019-08-17,1
2019-08-18,9
2019-08-19,3
2019-08-20,4
2019-08-21,8
2019-08-22,6
2019-08-23,10
2019-08-24,4
2019-08-25,2
2019-08-26,14
2019-08-27,4
2019-08-28,5
2019-08-29,3
2019-08-30,5
2019-08-31,1
2019-09-01,1
2019-09-02,1
2019-09-03,10
2019-09-04,4
2019-09-05,11
2019-09-06,6
2019-09-07,3
2019-09-08,1
2019-09-09,9
2019-09-10,4
2019-09-11,7
2019-09-12,5
2019-09-13,3
2019-09-14,3
2019-09-15,5
2019-09-16,9
2019-09-17,3
2019-09-18,2
2019-09-19,2
2019-09-20,3
2019-09-21,4
2019-09-22,2
2019-09-23,11
2019-09-24,48
2019-09-25,51
2019-09-26,23
2019-09-27,20
2019-09-28,14
2019-09-29,11
2019-09-30,6
2019-10-01,11
2019-10-02,6
2019-10-03,12
2019-10-04,8
2019-10-05,7
2019-10-06,6
2019-10-07,7
2019-10-08,4
2019-10-09,5
2019-10-10,4
2019-10-11,6
2019-10-12,5
2019-10-13,1
2019-10-14,5
2019-10-15,6
2019-10-16,4
2019-10-17,5
2019-10-18,3
2019-10-19,3
2019-10-20,1
2019-10-21,3
2019-10-22,4
2019-10-23,3
2019-10-24,7
2019-10-25,9
2019-10-26,3
2019-10-27,3
2019-10-28,3
2019-10-29,3
2019-10-30,3
2019-10-31,4
2019-11-01,4
2019-11-02,2
2019-11-03,4
2019-11-04,9
2019-11-05,5
2019-11-06,5
2019-11-07,3
2019-11-08,4
2019-11-09,1
2019-11-10,2
2019-11-11,5
2019-11-12,5
2019-11-13,11
2019-11-14,5
2019-11-15,2
2019-11-16,2
2019-11-17,1
2019-11-18,4
2019-11-19,8
2019-11-20,7
2019-11-21,4
2019-11-22,6
2019-11-23,1
2019-11-24,4
2019-11-25,2
2019-11-26,5
2019-11-27,3
2019-11-28,2
2019-11-29,7
2019-11-30,4
2019-12-01,1
2019-12-02,5
2019-12-03,1
2019-12-04,2
2019-12-05,3
2019-12-06,6
2019-12-07,2
2019-12-08,1
2019-12-09,4
2019-12-10,5
2019-12-11,7
2019-12-12,8
2019-12-13,6
2019-12-14,1
