Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,7.320000,7.360000,7.200000,7.270000,7.270000,3384900
2019-08-02,7.220000,7.230000,7.060000,7.140000,7.140000,3861000
2019-08-05,7.000000,7.000000,6.760000,6.850000,6.850000,4188000
2019-08-06,6.930000,7.080000,6.730000,6.780000,6.780000,3940300
2019-08-07,6.720000,6.860000,6.640000,6.830000,6.830000,3736100
2019-08-08,6.890000,7.070000,6.840000,7.060000,7.060000,2785600
2019-08-09,7.010000,7.060000,6.930000,6.960000,6.960000,2392400
2019-08-12,6.970000,6.970000,6.820000,6.840000,6.840000,1957000
2019-08-13,6.800000,7.030000,6.760000,7.000000,7.000000,3078100
2019-08-14,6.850000,6.860000,6.750000,6.750000,6.750000,2732100
2019-08-15,6.790000,6.810000,6.650000,6.680000,6.680000,2562100
2019-08-16,6.750000,6.930000,6.730000,6.850000,6.850000,2100300
2019-08-19,6.930000,6.990000,6.850000,6.960000,6.960000,2358900
2019-08-20,6.910000,6.940000,6.810000,6.890000,6.890000,2059600
2019-08-21,6.950000,7.210000,6.920000,7.090000,7.090000,3677000
2019-08-22,7.110000,7.120000,6.960000,7.040000,7.040000,3975900
2019-08-23,7.210000,7.320000,6.930000,6.980000,6.980000,4400700
2019-08-26,7.010000,7.060000,6.810000,6.860000,6.860000,2392200
2019-08-27,6.870000,6.900000,6.700000,6.730000,6.730000,3216300
2019-08-28,6.700000,6.830000,6.640000,6.810000,6.810000,2136300
2019-08-29,6.880000,6.980000,6.870000,6.960000,6.960000,2360100
2019-08-30,7.000000,7.010000,6.850000,6.870000,6.870000,2527000
2019-09-03,6.790000,6.870000,6.660000,6.760000,6.760000,3742100
2019-09-04,6.820000,6.950000,6.800000,6.910000,6.910000,3317400
2019-09-05,7.000000,7.300000,6.990000,7.280000,7.280000,3909600
2019-09-06,7.310000,7.340000,7.170000,7.190000,7.190000,2438100
2019-09-09,7.170000,7.200000,6.900000,6.980000,6.980000,5898700
2019-09-10,6.930000,7.160000,6.890000,7.150000,7.150000,3722100
2019-09-11,7.200000,7.530000,7.160000,7.510000,7.510000,5609200
2019-09-12,7.520000,7.530000,7.330000,7.410000,7.410000,4169200
2019-09-13,7.410000,7.520000,7.360000,7.470000,7.470000,3828600
2019-09-16,7.460000,7.760000,7.460000,7.590000,7.590000,6177900
2019-09-17,7.610000,7.700000,7.450000,7.600000,7.600000,4507000
2019-09-18,7.600000,7.630000,7.450000,7.520000,7.520000,3273800
2019-09-19,7.550000,7.580000,7.480000,7.570000,7.570000,2963600
2019-09-20,7.550000,7.640000,7.500000,7.540000,7.540000,3423200
2019-09-23,7.480000,7.530000,7.400000,7.510000,7.510000,6958900
2019-09-24,6.310000,6.370000,5.730000,5.810000,5.810000,37837600
2019-09-25,5.810000,5.830000,5.400000,5.570000,5.570000,22051000
2019-09-26,5.620000,5.620000,5.380000,5.450000,5.450000,14714800
2019-09-27,5.430000,5.460000,5.240000,5.260000,5.260000,9803400
2019-09-30,5.260000,5.360000,5.100000,5.250000,5.250000,10574200
2019-10-01,5.270000,5.390000,5.080000,5.150000,5.150000,7892900
2019-10-02,5.080000,5.080000,4.950000,5.020000,5.020000,8871600
2019-10-03,5.030000,5.170000,4.920000,5.100000,5.100000,7563500
2019-10-04,5.120000,5.190000,5.070000,5.160000,5.160000,4875500
2019-10-07,5.170000,5.290000,5.080000,5.100000,5.100000,6862300
2019-10-08,5.080000,5.080000,4.880000,4.890000,4.890000,7692600
2019-10-09,4.950000,5.010000,4.860000,4.970000,4.970000,6779100
2019-10-10,4.950000,5.150000,4.950000,5.060000,5.060000,6072600
2019-10-11,5.140000,5.340000,5.140000,5.320000,5.320000,7205300
2019-10-14,5.280000,5.300000,5.170000,5.220000,5.220000,3780400
2019-10-15,5.210000,5.350000,5.210000,5.240000,5.240000,4489800
2019-10-16,5.230000,5.250000,5.080000,5.110000,5.110000,5908800
2019-10-17,5.160000,5.230000,5.110000,5.210000,5.210000,3475600
2019-10-18,5.210000,5.220000,5.010000,5.080000,5.080000,2748300
2019-10-21,5.130000,5.250000,5.100000,5.210000,5.210000,3614800
2019-10-22,5.230000,5.240000,5.130000,5.150000,5.150000,2951600
2019-10-23,5.120000,5.260000,5.120000,5.210000,5.210000,4293500
2019-10-24,5.210000,5.280000,5.130000,5.170000,5.170000,3991400
2019-10-25,5.150000,5.230000,5.080000,5.220000,5.220000,3550400
2019-10-28,5.250000,5.330000,5.220000,5.290000,5.290000,3858300
2019-10-29,5.270000,5.310000,5.210000,5.270000,5.270000,3103200
2019-10-30,5.430000,5.490000,5.230000,5.290000,5.290000,4097200
2019-10-31,5.290000,5.300000,5.180000,5.260000,5.260000,3576000
2019-11-01,5.290000,5.500000,5.240000,5.490000,5.490000,5183000
2019-11-04,5.620000,5.730000,5.550000,5.610000,5.610000,6626900
2019-11-05,5.590000,5.660000,5.510000,5.530000,5.530000,4286200
2019-11-06,5.530000,5.580000,5.490000,5.550000,5.550000,3073300
2019-11-07,5.570000,5.640000,5.510000,5.530000,5.530000,3439800
2019-11-08,5.530000,5.560000,5.470000,5.540000,5.540000,2870000
2019-11-11,5.500000,5.580000,5.480000,5.560000,5.560000,2637400
2019-11-12,5.560000,5.660000,5.530000,5.630000,5.630000,3437600
2019-11-13,5.600000,5.640000,5.470000,5.520000,5.520000,3163900
2019-11-14,5.490000,5.520000,5.340000,5.380000,5.380000,4140200
2019-11-15,5.380000,5.480000,5.310000,5.480000,5.480000,2544900
2019-11-18,5.430000,5.440000,5.260000,5.290000,5.290000,4998400
2019-11-19,5.320000,5.430000,5.270000,5.350000,5.350000,4666100
2019-11-20,5.330000,5.380000,5.200000,5.260000,5.260000,4995900
2019-11-21,5.270000,5.380000,5.230000,5.340000,5.340000,6430300
2019-11-22,5.370000,5.640000,5.360000,5.600000,5.600000,6477000
2019-11-25,5.590000,5.660000,5.460000,5.480000,5.480000,4162300
2019-11-26,5.500000,5.540000,5.440000,5.540000,5.540000,2957800
2019-11-27,5.540000,5.630000,5.530000,5.600000,5.600000,3311000
2019-11-29,5.550000,5.600000,5.480000,5.570000,5.570000,1471600
2019-12-02,5.570000,5.570000,5.410000,5.500000,5.500000,2965900
2019-12-03,5.400000,5.440000,5.330000,5.380000,5.380000,3175300
2019-12-04,5.420000,5.480000,5.390000,5.420000,5.420000,3476400
2019-12-05,5.420000,5.460000,5.350000,5.370000,5.370000,2620700
2019-12-06,5.370000,5.420000,5.350000,5.410000,5.410000,3201700
2019-12-09,5.410000,5.520000,5.400000,5.440000,5.440000,3262200
2019-12-10,5.410000,5.470000,5.340000,5.380000,5.380000,3305800
2019-12-11,5.380000,5.590000,5.370000,5.540000,5.540000,3894500
