Date, Open, High, Low, Close
02/26/21, 31401.29, 31450.89, 30911.37, 30932.37
02/25/21, 31955.94, 31984.77, 31293.32, 31402.01
02/24/21, 31499.75, 32009.64, 31421.29, 31961.86
02/23/21, 31501.89, 31653.38, 31158.76, 31537.35
02/22/21, 31381.12, 31653.48, 31286.57, 31521.69
02/19/21, 31504.13, 31647.53, 31469.34, 31494.32
02/18/21, 31558.60, 31558.60, 31285.32, 31493.34
02/17/21, 31485.61, 31643.70, 31338.76, 31613.02
02/16/21, 31472.08, 31608.63, 31443.48, 31522.75
02/12/21, 31420.80, 31475.31, 31347.80, 31458.40
02/11/21, 31466.49, 31543.82, 31244.36, 31430.70
02/10/21, 31428.02, 31511.44, 31221.32, 31437.80
02/09/21, 31359.88, 31439.47, 31245.86, 31375.83
02/08/21, 31191.20, 31386.10, 31191.20, 31385.76
02/05/21, 31093.81, 31252.18, 31083.22, 31148.24
02/04/21, 30737.78, 31065.96, 30737.78, 31055.86
02/03/21, 30689.65, 30793.41, 30521.31, 30723.60
02/02/21, 30276.88, 30840.54, 30276.88, 30687.48
02/01/21, 30054.73, 30335.91, 30014.97, 30211.91
01/29/21, 30553.91, 30553.91, 29856.30, 29982.62
01/28/21, 30377.19, 30951.41, 30377.19, 30603.36
01/27/21, 30893.78, 30893.78, 30206.91, 30303.17
01/26/21, 30968.55, 31121.42, 30921.71, 30937.04
01/25/21, 30989.85, 30989.85, 30564.06, 30960.00
01/22/21, 31141.56, 31141.56, 30908.47, 30996.98
01/21/21, 31198.01, 31272.22, 31120.92, 31176.01
01/20/21, 31017.54, 31235.98, 30997.79, 31188.38
01/19/21, 30887.42, 31086.62, 30865.03, 30930.52
01/15/21, 30926.77, 30941.98, 30612.67, 30814.26
01/14/21, 31085.67, 31223.78, 30982.24, 30991.52
01/13/21, 31084.88, 31153.37, 30992.05, 31060.47
01/12/21, 31015.01, 31114.56, 30888.76, 31068.69
01/11/21, 31015.37, 31096.98, 30832.06, 31008.69
01/08/21, 31069.58, 31140.67, 30793.27, 31097.97
01/07/21, 30901.18, 31193.40, 30897.86, 31041.13
01/06/21, 30362.78, 31022.65, 30313.07, 30829.40
01/05/21, 30204.25, 30504.89, 30141.78, 30391.60
01/04/21, 30627.47, 30674.28, 29881.82, 30223.89
12/31/20, 30417.64, 30637.47, 30344.50, 30606.48
12/30/20, 30415.09, 30525.35, 30393.04, 30409.56
12/29/20, 30492.07, 30588.79, 30274.24, 30335.67
12/28/20, 30283.23, 30525.56, 30283.23, 30403.97
12/24/20, 30155.92, 30209.67, 30099.30, 30199.87
12/23/20, 30046.73, 30292.53, 30046.73, 30129.83
12/22/20, 30200.20, 30200.20, 29992.89, 30015.51
12/21/20, 30159.00, 30304.14, 29755.53, 30216.45
12/18/20, 30314.26, 30343.59, 30029.44, 30179.05
12/17/20, 30216.00, 30323.78, 30216.00, 30303.37
12/16/20, 30191.38, 30236.03, 30080.11, 30154.54
12/15/20, 29919.09, 30243.26, 29894.95, 30199.31
12/14/20, 30123.91, 30325.79, 29849.15, 29861.55
12/11/20, 29988.21, 30071.13, 29820.84, 30046.37
12/10/20, 30032.55, 30063.87, 29876.82, 29999.26
12/09/20, 30229.81, 30319.70, 29951.85, 30068.81
12/08/20, 29997.95, 30246.22, 29972.07, 30173.88
12/07/20, 30233.03, 30233.03, 29967.22, 30069.79
