Date,Frequency
2019-08-02,0
2019-08-03,2
2019-08-04,0
2019-08-05,3
2019-08-06,3
2019-08-07,4
2019-08-08,2
2019-08-09,3
2019-08-10,2
2019-08-11,0
2019-08-12,1
2019-08-13,2
2019-08-14,0
2019-08-15,1
2019-08-16,0
2019-08-17,1
2019-08-18,3
2019-08-19,0
2019-08-20,4
2019-08-21,8
2019-08-22,40
2019-08-23,8
2019-08-24,11
2019-08-25,0
2019-08-26,9
2019-08-27,2
2019-08-28,6
2019-08-29,15
2019-08-30,8
2019-08-31,4
2019-09-01,2
2019-09-02,1
2019-09-03,8
2019-09-04,1
2019-09-05,7
2019-09-06,3
2019-09-07,5
2019-09-08,6
2019-09-09,22
2019-09-10,37
2019-09-11,40
2019-09-12,14
2019-09-13,5
2019-09-14,8
2019-09-15,4
2019-09-16,5
2019-09-17,4
2019-09-18,9
2019-09-19,3
2019-09-20,13
2019-09-21,2
2019-09-22,2
2019-09-23,13
2019-09-24,21
2019-09-25,10
2019-09-26,3
2019-09-27,6
2019-09-28,3
2019-09-29,4
2019-09-30,10
2019-10-01,7
2019-10-02,5
2019-10-03,7
2019-10-04,1
2019-10-05,1
2019-10-06,0
2019-10-07,0
2019-10-08,4
2019-10-09,6
2019-10-10,6
2019-10-11,2
2019-10-12,3
2019-10-13,0
2019-10-14,5
2019-10-15,6
2019-10-16,5
2019-10-17,4
2019-10-18,2
2019-10-19,1
2019-10-20,1
2019-10-21,2
2019-10-22,11
2019-10-23,8
2019-10-24,4
2019-10-25,9
2019-10-26,0
2019-10-27,3
2019-10-28,0
2019-10-29,0
2019-10-30,3
2019-10-31,3
2019-11-01,5
2019-11-02,0
2019-11-03,0
2019-11-04,7
2019-11-05,3
2019-11-06,4
2019-11-07,6
2019-11-08,1
2019-11-09,1
2019-11-10,2
2019-11-11,1
2019-11-12,1
2019-11-13,0
2019-11-14,2
2019-11-15,0
2019-11-16,4
2019-11-17,0
2019-11-18,2
2019-11-19,4
2019-11-20,2
2019-11-21,2
2019-11-22,2
2019-11-23,1
2019-11-24,3
2019-11-25,4
2019-11-26,3
2019-11-27,4
2019-11-28,0
2019-11-29,7
2019-11-30,2
2019-12-01,5
2019-12-02,8
2019-12-03,2
2019-12-04,5
2019-12-05,6
2019-12-06,15
2019-12-07,4
2019-12-08,0
2019-12-09,7
2019-12-10,41
2019-12-11,80
2019-12-12,20
2019-12-13,5
2019-12-14,9
2019-12-15,12
2019-12-16,4
2019-12-17,7
2019-12-18,6
2019-12-19,4
2019-12-20,1
2019-12-21,0
2019-12-22,0
2019-12-23,8
2019-12-24,8
2019-12-25,6
2019-12-26,4
2019-12-27,9
2019-12-28,5
2019-12-29,4
2019-12-30,46
2019-12-31,35
2020-01-01,4
2020-01-02,10
2020-01-03,8
2020-01-04,1
2020-01-05,4
2020-01-06,5
2020-01-07,3
2020-01-08,3
2020-01-09,4
2020-01-10,3
2020-01-11,4
2020-01-12,6
2020-01-13,14
2020-01-14,21
2020-01-15,13
2020-01-16,4
2020-01-17,5
2020-01-18,6
2020-01-19,0
2020-01-20,3
2020-01-21,4
2020-01-22,2
2020-01-23,1
2020-01-24,4
2020-01-25,1
2020-01-26,4
2020-01-27,5
2020-01-28,1
2020-01-29,1
2020-01-30,0
2020-01-31,1
2020-02-01,1
2020-02-02,0
2020-02-03,2
2020-02-04,2
2020-02-05,4
2020-02-06,6
2020-02-07,2
2020-02-08,0
2020-02-09,4
2020-02-10,6
2020-02-11,1
2020-02-12,21
2020-02-13,7
2020-02-14,4
2020-02-15,1
2020-02-16,2
2020-02-17,1
2020-02-18,5
2020-02-19,6
2020-02-20,4
2020-02-21,0
2020-02-22,2
2020-02-23,0
2020-02-24,2
2020-02-25,5
2020-02-26,4
2020-02-27,5
2020-02-28,2
2020-02-29,1
2020-03-01,3
2020-03-02,1
2020-03-03,2
2020-03-04,4
2020-03-05,3
2020-03-06,4
2020-03-07,1
2020-03-08,6
2020-03-09,5
2020-03-10,11
2020-03-11,8
2020-03-12,9
2020-03-13,10
2020-03-14,1
2020-03-15,3
2020-03-16,6
2020-03-17,7
2020-03-18,4
2020-03-19,4
2020-03-20,17
2020-03-21,15
2020-03-22,12
2020-03-23,8
2020-03-24,22
2020-03-25,12
2020-03-26,19
2020-03-27,28
2020-03-28,2
2020-03-29,1
2020-03-30,7
2020-03-31,4
2020-04-01,7
2020-04-02,11
2020-04-03,5
2020-04-04,0
2020-04-05,6
2020-04-06,6
2020-04-07,8
2020-04-08,8
2020-04-09,7
2020-04-10,2
2020-04-11,5
2020-04-12,2
2020-04-13,20
2020-04-14,44
2020-04-15,30
2020-04-16,16
2020-04-17,35
2020-04-18,21
2020-04-19,9
2020-04-20,27
2020-04-21,10
2020-04-22,5
2020-04-23,6
2020-04-24,4
2020-04-25,3
2020-04-26,0
2020-04-27,24
2020-04-28,11
2020-04-29,8
2020-04-30,11
2020-05-01,47
2020-05-02,7
2020-05-03,4
2020-05-04,10
2020-05-05,6
2020-05-06,7
2020-05-07,3
2020-05-08,10
2020-05-09,0
2020-05-10,6
2020-05-11,2
2020-05-12,5
2020-05-13,2
2020-05-14,1
2020-05-15,7
2020-05-16,2
2020-05-17,1
2020-05-18,4
2020-05-19,4
2020-05-20,6
2020-05-21,8
2020-05-22,10
2020-05-23,0
2020-05-24,2
2020-05-25,2
2020-05-26,6
2020-05-27,3
2020-05-28,4
2020-05-29,3
2020-05-30,1
2020-05-31,3
2020-06-01,4
2020-06-02,5
2020-06-03,12
2020-06-04,16
2020-06-05,15
2020-06-06,4
2020-06-07,4
2020-06-08,16
2020-06-09,33
2020-06-10,50
2020-06-11,25
2020-06-12,20
2020-06-13,7
2020-06-14,8
2020-06-15,7
2020-06-16,20
2020-06-17,9
2020-06-18,9
2020-06-19,13
2020-06-20,2
2020-06-21,6
2020-06-22,3
2020-06-23,7
2020-06-24,4
2020-06-25,4
2020-06-26,1
2020-06-27,0
2020-06-28,1
2020-06-29,3
2020-06-30,4
2020-07-01,5
2020-07-02,4
2020-07-03,1
2020-07-04,1
2020-07-05,1
2020-07-06,7
2020-07-07,2
2020-07-08,5
2020-07-09,0
2020-07-10,5
2020-07-11,4
2020-07-12,4
2020-07-13,7
2020-07-14,7
2020-07-15,1
2020-07-16,5
2020-07-17,8
2020-07-18,1
2020-07-19,2
2020-07-20,6
2020-07-21,5
2020-07-22,2
2020-07-23,9
2020-07-24,3
2020-07-25,1
2020-07-26,1
2020-07-27,3
2020-07-28,2
2020-07-29,1
2020-07-30,11
2020-07-31,6
2020-08-01,1
2020-08-02,2
2020-08-03,9
2020-08-04,31
2020-08-05,15
2020-08-06,4
2020-08-07,7
2020-08-08,0
2020-08-09,1
2020-08-10,4
2020-08-11,3
2020-08-12,7
2020-08-13,8
2020-08-14,11
2020-08-15,1
2020-08-16,3
2020-08-17,1
2020-08-18,7
2020-08-19,1
2020-08-20,7
2020-08-21,23
2020-08-22,3
2020-08-23,2
2020-08-24,9
2020-08-25,7
2020-08-26,13
2020-08-27,5
2020-08-28,20
2020-08-29,8
2020-08-30,6
2020-08-31,93
2020-09-01,85
2020-09-02,45
2020-09-03,35
2020-09-04,44
2020-09-05,7
2020-09-06,6
2020-09-07,8
2020-09-08,30
2020-09-09,76
2020-09-10,73
2020-09-11,26
2020-09-12,20
2020-09-13,7
2020-09-14,52
2020-09-15,26
2020-09-16,68
2020-09-17,75
2020-09-18,59
2020-09-19,22
2020-09-20,18
2020-09-21,27
2020-09-22,173
2020-09-23,41
2020-09-24,35
2020-09-25,33
2020-09-26,11
2020-09-27,9
2020-09-28,8
2020-09-29,25
2020-09-30,22
2020-10-01,20
2020-10-02,10
2020-10-03,6
2020-10-04,1
2020-10-05,8
2020-10-06,13
2020-10-07,12
2020-10-08,246
2020-10-09,273
2020-10-10,33
2020-10-11,39
2020-10-12,74
2020-10-13,59
2020-10-14,58
2020-10-15,131
2020-10-16,62
2020-10-17,17
2020-10-18,22
2020-10-19,62
2020-10-20,45
2020-10-21,116
2020-10-22,203
2020-10-23,98
2020-10-24,16
2020-10-25,8
2020-10-26,45
2020-10-27,38
2020-10-28,32
2020-10-29,15
2020-10-30,39
2020-10-31,24
2020-11-01,34
2020-11-02,95
2020-11-03,102
2020-11-04,76
2020-11-05,22
2020-11-06,13
2020-11-07,10
2020-11-08,4
2020-11-09,36
2020-11-10,22
2020-11-11,33
2020-11-12,20
2020-11-13,13
2020-11-14,11
2020-11-15,9
2020-11-16,27
2020-11-17,37
2020-11-18,18
2020-11-19,32
2020-11-20,37
2020-11-21,15
2020-11-22,11
2020-11-23,38
2020-11-24,31
2020-11-25,45
2020-11-26,14
2020-11-27,49
2020-11-28,16
2020-11-29,26
2020-11-30,110
2020-12-01,43
