Date,Frequency
2019-08-02,31
2019-08-03,14
2019-08-04,12
2019-08-05,64
2019-08-06,33
2019-08-07,14
2019-08-08,19
2019-08-09,11
2019-08-10,4
2019-08-11,5
2019-08-12,11
2019-08-13,20
2019-08-14,31
2019-08-15,20
2019-08-16,9
2019-08-17,10
2019-08-18,7
2019-08-19,9
2019-08-20,9
2019-08-21,10
2019-08-22,10
2019-08-23,20
2019-08-24,12
2019-08-25,8
2019-08-26,19
2019-08-27,16
2019-08-28,18
2019-08-29,21
2019-08-30,8
2019-08-31,3
2019-09-01,14
2019-09-02,21
2019-09-03,11
2019-09-04,14
2019-09-05,34
2019-09-06,9
2019-09-07,4
2019-09-08,9
2019-09-09,6
2019-09-10,8
2019-09-11,17
2019-09-12,12
2019-09-13,7
2019-09-14,3
2019-09-15,5
2019-09-16,6
2019-09-17,7
2019-09-18,5
2019-09-19,12
2019-09-20,16
2019-09-21,3
2019-09-22,7
2019-09-23,10
2019-09-24,30
2019-09-25,22
2019-09-26,10
2019-09-27,15
2019-09-28,4
2019-09-29,9
2019-09-30,12
2019-10-01,27
2019-10-02,21
2019-10-03,29
2019-10-04,20
2019-10-05,5
2019-10-06,6
2019-10-07,10
2019-10-08,25
2019-10-09,16
2019-10-10,15
2019-10-11,19
2019-10-12,5
2019-10-13,5
2019-10-14,12
2019-10-15,20
2019-10-16,14
2019-10-17,11
2019-10-18,9
2019-10-19,3
2019-10-20,3
2019-10-21,15
2019-10-22,20
2019-10-23,15
2019-10-24,13
2019-10-25,19
2019-10-26,4
2019-10-27,11
2019-10-28,29
2019-10-29,26
2019-10-30,24
2019-10-31,28
2019-11-01,33
2019-11-02,15
2019-11-03,7
2019-11-04,32
2019-11-05,18
2019-11-06,14
2019-11-07,26
2019-11-08,17
2019-11-09,4
2019-11-10,8
2019-11-11,17
2019-11-12,17
2019-11-13,17
2019-11-14,10
2019-11-15,10
2019-11-16,9
2019-11-17,13
2019-11-18,15
2019-11-19,27
2019-11-20,32
2019-11-21,16
2019-11-22,11
2019-11-23,1
2019-11-24,1
2019-11-25,20
2019-11-26,15
2019-11-27,16
2019-11-28,10
2019-11-29,8
2019-11-30,5
2019-12-01,5
2019-12-02,15
2019-12-03,19
2019-12-04,11
2019-12-05,10
2019-12-06,37
2019-12-07,5
2019-12-08,3
2019-12-09,9
2019-12-10,14
2019-12-11,13
2019-12-12,25
2019-12-13,20
2019-12-14,11
2019-12-15,3
2019-12-16,25
2019-12-17,12
2019-12-18,14
2019-12-19,16
2019-12-20,15
2019-12-21,6
2019-12-22,3
2019-12-23,14
2019-12-24,17
2019-12-25,7
2019-12-26,12
2019-12-27,17
2019-12-28,12
2019-12-29,6
2019-12-30,12
2019-12-31,15
2020-01-01,17
2020-01-02,25
2020-01-03,22
2020-01-04,8
2020-01-05,7
2020-01-06,18
2020-01-07,16
2020-01-08,16
2020-01-09,28
2020-01-10,13
2020-01-11,8
2020-01-12,7
2020-01-13,23
2020-01-14,27
2020-01-15,19
2020-01-16,23
2020-01-17,21
2020-01-18,16
2020-01-19,8
2020-01-20,13
2020-01-21,15
2020-01-22,16
2020-01-23,40
2020-01-24,19
2020-01-25,7
2020-01-26,14
2020-01-27,14
2020-01-28,16
2020-01-29,20
2020-01-30,13
2020-01-31,20
2020-02-01,8
2020-02-02,9
2020-02-03,16
2020-02-04,29
2020-02-05,31
2020-02-06,21
2020-02-07,13
2020-02-08,6
2020-02-09,17
2020-02-10,20
2020-02-11,13
2020-02-12,17
2020-02-13,12
2020-02-14,11
2020-02-15,13
2020-02-16,7
2020-02-17,15
2020-02-18,33
2020-02-19,22
2020-02-20,26
2020-02-21,14
2020-02-22,18
2020-02-23,8
2020-02-24,38
2020-02-25,57
2020-02-26,38
2020-02-27,70
2020-02-28,71
2020-02-29,16
2020-03-01,17
2020-03-02,69
2020-03-03,30
2020-03-04,20
2020-03-05,40
2020-03-06,43
2020-03-07,18
2020-03-08,13
2020-03-09,100
2020-03-10,40
2020-03-11,53
2020-03-12,97
2020-03-13,65
2020-03-14,24
2020-03-15,24
2020-03-16,71
2020-03-17,61
2020-03-18,50
2020-03-19,43
2020-03-20,44
2020-03-21,43
2020-03-22,27
2020-03-23,53
2020-03-24,43
2020-03-25,40
2020-03-26,45
2020-03-27,32
2020-03-28,16
2020-03-29,21
2020-03-30,23
2020-03-31,39
2020-04-01,43
2020-04-02,43
2020-04-03,27
2020-04-04,22
2020-04-05,31
2020-04-06,24
2020-04-07,43
2020-04-08,35
2020-04-09,34
2020-04-10,28
2020-04-11,12
2020-04-12,19
2020-04-13,32
2020-04-14,30
2020-04-15,30
2020-04-16,22
2020-04-17,39
2020-04-18,25
2020-04-19,18
2020-04-20,52
2020-04-21,36
2020-04-22,28
2020-04-23,18
2020-04-24,23
2020-04-25,11
2020-04-26,16
2020-04-27,37
2020-04-28,29
2020-04-29,36
2020-04-30,40
2020-05-01,33
2020-05-02,23
2020-05-03,19
2020-05-04,34
2020-05-05,27
2020-05-06,54
2020-05-07,25
2020-05-08,432
2020-05-09,12
2020-05-10,15
2020-05-11,594
2020-05-12,247
2020-05-13,30
2020-05-14,36
2020-05-15,21
2020-05-16,12
2020-05-17,12
2020-05-18,21
2020-05-19,16
2020-05-20,14
2020-05-21,27
2020-05-22,25
2020-05-23,5
2020-05-24,15
2020-05-25,18
2020-05-26,37
2020-05-27,34
2020-05-28,26
2020-05-29,38
2020-05-30,10
2020-05-31,9
2020-06-01,34
2020-06-02,24
2020-06-03,25
2020-06-04,22
2020-06-05,28
2020-06-06,18
2020-06-07,8
2020-06-08,31
2020-06-09,51
2020-06-10,36
2020-06-11,63
2020-06-12,32
2020-06-13,21
2020-06-14,17
2020-06-15,36
2020-06-16,28
2020-06-17,43
2020-06-18,39
2020-06-19,30
2020-06-20,12
2020-06-21,22
2020-06-22,39
2020-06-23,22
2020-06-24,39
2020-06-25,30
2020-06-26,35
2020-06-27,13
2020-06-28,16
2020-06-29,30
2020-06-30,39
2020-07-01,38
2020-07-02,31
2020-07-03,13
2020-07-04,12
2020-07-05,14
2020-07-06,51
2020-07-07,32
2020-07-08,35
2020-07-09,29
2020-07-10,43
2020-07-11,27
2020-07-12,18
2020-07-13,63
2020-07-14,60
2020-07-15,33
2020-07-16,30
2020-07-17,23
2020-07-18,14
2020-07-19,20
2020-07-20,97
2020-07-21,7
2020-07-22,78
2020-07-23,79
2020-07-24,59
2020-07-25,23
2020-07-26,20
2020-07-27,39
2020-07-28,28
2020-07-29,25
2020-07-30,38
2020-07-31,39
2020-08-01,10
2020-08-02,17
2020-08-03,28
2020-08-04,33
2020-08-05,34
2020-08-06,40
2020-08-07,20
2020-08-08,13
2020-08-09,15
2020-08-10,30
2020-08-11,46
2020-08-12,44
2020-08-13,36
2020-08-14,21
2020-08-15,21
2020-08-16,13
2020-08-17,31
2020-08-18,51
2020-08-19,47
2020-08-20,38
2020-08-21,30
2020-08-22,19
2020-08-23,19
2020-08-24,60
2020-08-25,33
2020-08-26,32
2020-08-27,46
2020-08-28,28
2020-08-29,12
2020-08-30,15
2020-08-31,41
2020-09-01,39
2020-09-02,48
2020-09-03,60
2020-09-04,81
2020-09-05,63
2020-09-06,24
2020-09-07,22
2020-09-08,73
2020-09-09,36
2020-09-10,44
2020-09-11,24
2020-09-12,13
2020-09-13,16
2020-09-14,24
2020-09-15,22
2020-09-16,18
2020-09-17,28
2020-09-18,40
2020-09-19,24
2020-09-20,7
2020-09-21,32
2020-09-22,38
2020-09-23,35
2020-09-24,27
2020-09-25,21
2020-09-26,9
2020-09-27,18
2020-09-28,25
2020-09-29,16
2020-09-30,19
2020-10-01,17
2020-10-02,31
2020-10-03,13
2020-10-04,9
2020-10-05,23
2020-10-06,38
2020-10-07,40
2020-10-08,33
2020-10-09,15
2020-10-10,14
2020-10-11,13
2020-10-12,32
2020-10-13,24
2020-10-14,10
2020-10-15,23
2020-10-16,23
2020-10-17,13
2020-10-18,7
2020-10-19,31
2020-10-20,16
2020-10-21,19
2020-10-22,26
2020-10-23,25
2020-10-24,13
2020-10-25,18
2020-10-26,36
2020-10-27,36
2020-10-28,36
2020-10-29,31
2020-10-30,25
2020-10-31,13
2020-11-01,12
2020-11-02,19
2020-11-03,28
2020-11-04,22
2020-11-05,25
2020-11-06,28
2020-11-07,12
2020-11-08,14
2020-11-09,47
2020-11-10,22
2020-11-11,33
2020-11-12,21
2020-11-13,20
2020-11-14,12
2020-11-15,10
2020-11-16,85
2020-11-17,116
2020-11-18,62
2020-11-19,45
2020-11-20,28
2020-11-21,23
2020-11-22,5
2020-11-23,35
2020-11-24,48
2020-11-25,32
2020-11-26,19
2020-11-27,17
2020-11-28,14
2020-11-29,13
2020-11-30,42
2020-12-01,45
2020-12-02,32
2020-12-03,22
2020-12-04,21
2020-12-05,18
2020-12-06,14
2020-12-07,44
2020-12-08,47
2020-12-09,26
2020-12-10,32
2020-12-11,32
2020-12-12,22
2020-12-13,36
2020-12-14,33
2020-12-15,31
2020-12-16,53
2020-12-17,44
2020-12-18,78
2020-12-19,29
2020-12-20,43
2020-12-21,55
2020-12-22,45
2020-12-23,29
2020-12-24,16
2020-12-25,8
2020-12-26,11
2020-12-27,10
2020-12-28,22
2020-12-29,13
2020-12-30,20
2020-12-31,23
2021-01-01,11
2021-01-02,17
2021-01-03,13
2021-01-04,32
2021-01-05,28
2021-01-06,26
2021-01-07,34
2021-01-08,35
2021-01-09,20
2021-01-10,24
2021-01-11,24
2021-01-12,30
2021-01-13,11
2021-01-14,27
2021-01-15,29
2021-01-16,10
2021-01-17,19
2021-01-18,13
2021-01-19,20
2021-01-20,35
2021-01-21,32
2021-01-22,25
2021-01-23,12
2021-01-24,16
2021-01-25,20
2021-01-26,52
2021-01-27,53
2021-01-28,63
2021-01-29,50
2021-01-30,36
2021-01-31,21
2021-02-01,26
2021-02-02,28
2021-02-03,24
2021-02-04,26
2021-02-05,38
2021-02-06,15
2021-02-07,13
2021-02-08,58
2021-02-09,56
2021-02-10,51
2021-02-11,54
2021-02-12,34
2021-02-13,20
2021-02-14,20
2021-02-15,15
2021-02-16,35
2021-02-17,35
2021-02-18,24
2021-02-19,45
2021-02-20,16
2021-02-21,44
2021-02-22,36
2021-02-23,75
2021-02-24,48
2021-02-25,37
2021-02-26,32
2021-02-27,21
2021-02-28,27
2021-03-01,22
